Divison,Police Station,Date of Occurrence of the Mugging Incident  (YY/MM/DD),Time of Occurrence,Month,Day,Time,Place of Occurrence of the mugging incident,The way in which mugging was done and property looted,Type of Place,Latitude,Longitute,Date of Report,Victim's Gender,Victim's AGE ,"Type of the 
Vehicle used by the assailants
( 2/3/4 wheeler/Walk)",Vehicle model as identified by the Victim,Vehicle Colour as reported by the victim,Vehicle Number as reported by the victim,Whether CC TV Footage is available ? (Yes/No),Whether the accused was wearing a Helmet or not (Yes/No),Whether the FIR has been Detected/ Undetected ?,,,
EAST,Banaswadi PS,09.09.2014,7:45:00,September,Tuesday,06:00-09:00,"Near House No.6, Sandhya Engineering Works Building, 1st floor, 4th cross, Subbaiahnapalya,Bangalorecity.",Snatching by walk & escaping with bike,On side road,13.01371876,77.64074212,09.09.2014,Female,47,2 Wheeler,No,No,No,No,No,Undetected,,,
EAST,Ramamurthy Nagar PS,10.09.2014,9:00:00,September,Wednesday,09:00-12:00,"Near Hello Kids Play School, 1st cross, Behind Bata showroom, RRV Layout, RM Nagara, Bangalorecity.",Snatching while on the move (Accused on bike) from front,"Near School, College Etc (Where victim had gone to drop off / pick up child)",13.01117604,77.67539695,10.09.2014,Female,48,2 Wheeler,Bajaj Pulsar,no,No,no,No,Detected,,,
EAST,Ramamurthy Nagar PS,11.09.2014,12:15:00,September,Thursday,12:00-15:00,"Beside the KR Enclive Heights Apt, Muneshwara Nagar, Bangalore city,
Karnataka",Snatching while on the move (Accused on bike) from back,"Near School, College Etc (Where victim had gone to drop off / pick up child)",13.01845307,77.67455502,11.09.2014,Female,50,2 Wheeler,No,no,No,no,No,Undetected,,,
EAST,Indiranagar PS,01.10.2014,18:00:00,October,Wednesday,18:00-21:00,"No.562, 10th main, 5th cross, HAL II stage, Bangalorecity,",Attention diversion by indulging in small talk,In-front of Victims house,12.971673,77.6450812,10.01.2014,Female,75,By Walk,No,No,No,No,No,Undetected,,,
EAST,Indiranagar PS,17.10.2014,18:45:00,October,Friday,18:00-21:00,"11th Cross, 1st stage, Indiranagar, Bangalore city, Karnataka, 560038",Accused came in 3 or 4 wheeler,On side road,12.974806,77.636854,17.10.2014,Female,38,3 wheeler,Auto Rikshaw,BLACK & YELLOW,"KA-03,
5600",NO,No,Detected,,,
EAST,Bharathi Nagar PS,23.10.2014,17:00:00,October,Thursday,15:00-18:00,Ashirakhan Street 5th cross Bharathinagar Banglore,Snatching while on the move (Accused on bike) from front,On a main road,12.987667,77.612748,23.10.2014,Female,55,2 Wheeler,YAMAHA,Red,No,No,yes,Detected,,,
EAST,Jeevan Bheemanagar PS,13.10.2014,7:20:00,October,Monday,06:00-09:00,"5th Cross, B.D.A Layout, J.B Nagara, Bangalore city ",Snatching by walk & escaping with bike,"In Isolated areas (Othrethan main road, Side road)",12.96166419,77.65765027,13.10.2014,Female,65,2 Wheeler,Bajaj Pulsar,black ,No,No,Yes,Undetected,,,
EAST,K.R. Puram PS,26.10.2014,2:00:00,October,Sunday,00:00-03:00,"22 nd Cross, Akshyanagara, Bangalore city, Karnataka,",Attention diversion by indulging in small talk,On side road,13.01674415,77.6812619,26.10.2014,Male,52,By Walk,No,No,No,No,No,Undetected,,,
EAST,Kadugondana Halli PS,28.10.2014,14:50:00,October,Tuesday,12:00-15:00,"near no-1308, 1st cross, HBR Layout, Kacharakanahalli, Bangalore city,
Karnataka",Snatching while on the move (Accused on bike) from back,"Near School, College Etc (Where victim had gone to drop off / pick up child)",13.01757557,77.63092229,28.10.2014,Female,40,2 Wheeler,Suzuki Access,Black,KA-04-HP-3452,No,No,Detected,,,
EAST,Banaswadi PS,05.11.2014,13:20:00,November,Wednesday,12:00-15:00,"Near House No.245, 7th main, 1st block, HRBR Layout, Bangalorecity.",Snatching while on the move (Accused on bike) from back,On side road,13.01518187,77.64128245,11.05.2014,Female,75,2 Wheeler,No,No,No,No,No,Detected,,,
EAST,Kadugondana Halli PS,18.06.2014,17:30:00,June,Wednesday,15:00-18:00,"18th cross road Opp Lidkar quarters, HBR Layout, 2nd block, KG Halli, Bangalorecity.",Snatching while on the move (Accused on bike) from back,On side road,13.01757557,77.63092229,18.11.2014,Female,62,2 Wheeler,Suzuki Access,Black,KA-04-HP-3452,No,No,Detected,,,
EAST,Pulakeshinagar  PS,18.11.2014,18:00:00,November,Tuesday,18:00-21:00,"Veranna garden, More Road, Frazer town Bangalore.",Snatching by walk & escaping with bike,On Side Road,12.99913553,77.61264432,18.11.2014,Female,65,2 Wheeler,Suzuki Access,Black ,KA-015-HJ 6951,No,No,Detected,,,
EAST,Indiranagar PS,20.11.2014,11:45:00,November,Thursday,09:00-12:00,"Infront Of House No.290, 1st Cros,, Motappanapalya, Indiranagara, Bangalore city,Karnataka",Attention diversion by indulging in small talk,In-front of Victims house,12.96721415,77.63815928,20.11.2014,Female,83,2 Wheeler,No,No,No,No,No,Undetected,,,
EAST,Ramamurthy Nagar PS,23.11.2014,18:15:00,November,Sunday,18:00-21:00,"Opp Rakesh Fantace Garden, 2nd Main, Kasturinagar, Bangalore city, Karnataka,
560043",Snatching while on the move (Accused on bike) from back,"Near a Park, Walking route",13.00357508,77.66110408,23.11.2014,Female,57,2 Wheeler,Bajaj Pulsar,no,No,no,yes,Undetected,,,
EAST,Ramamurthy Nagar PS,23.11.2014,18:30:00,November,Sunday,18:00-21:00,"Opp No G2, Impact Dision Bulding,, Pelta Pama Street, Nisaraga Colony,
Horamavu, Bangalore",Snatching while on the move (Accused on bike) from back,On side road,13.02427262,77.66308642,23.11.2014,Female,50,2 Wheeler,no,no,No,no,No,Undetected,,,
EAST,Banaswadi PS,23.11.2014,12:30:00,November,Sunday,12:00-15:00,"Infront of House No.649, 2nd Cross, Doddanna Layout, Banasavadi Main road, Bangalorecity.",Snatching while on the move (Accused on bike) from back,"Near Temples, Masque, Church Etc",13.01124959,77.64279234,23.11.2014,Female,70,2 Wheeler,No,Black,No,No,Yes ,Undetected,,,
EAST,Byappanahalli PS,03.12.2014,15:30:00,December,Wednesday,15:00-18:00,"2nd main, 3rd cross, Sadananda nagar, NGEF Layout, Bangalore, Bangalore city,
Karnataka",Snatching while on the move (Accused on bike) from back,In-front of Victims house,12.99617,77.654389,12.03.2014,Female,72,2 Wheeler,Bajaj Pulsar,Black,No,No,No,Undetected,,,
EAST,Kadugondana Halli PS,05.12.2014,9:30:00,December,Friday,09:00-12:00,"Backside of No.133, Venugopala Temple road, Nagavara, Arabic College Post, Bangalorecity.",Came on walk by behind snatched the chain ,In-front of Victims house,13.037423,77.62391262,05.12.2014,Female,34,2 Wheeler,Suzuki Access,Black,KA-05-HJ-6957,No,No,Detected,,,
EAST,K.R. Puram PS,10.12.2014,15:45:00,December,Wednesday,12:00-15:00,"1st main, 5th cross, VB Layout, KR Puram, Bangalorecity.",Snatching while on the move (Accused on bike) from front,On side road,13.01342266,77.69621734,10.12.2014,Female,55,2 Wheeler,No,No,No,No,No,Undetected,,,
EAST,Indiranagar PS,22.12.2014,18:20:00,December,Monday,18:00-21:00,"Near 3rd cross, Opp. to DCA Entrance, 2nd stage, Domlur, Bangalore city,
Karnataka",Snatching while on the move (Accused on bike) from back,On a main road,12.966045,77.635527,22.12.2014,Female,58,2 Wheeler,No,No,No,No,No,Undetected,,,
EAST,Hennur PS,23.12.2014,19:30:00,December,Friday,18:00-21:00,"18 th main road, HBR Layout, Bangalorecity.",Snatching while on the move (Accused on bike) from back,On a main road,13.03675375,77.63041901,23.12.2014,Female,57,2 Wheeler,No,No,No,No,Yes,Undetected,,,
EAST,K.R. Puram PS,26.12.2014,7:40:00,December,Friday,06:00-09:00,"No.171, Sri Krishna Nilaya, Lakshmipura Layout, Devasandra, K.R.Pura, Bangalorecity.",Snatching while on the move (Accused on bike) from back,In-front of Victims house,13.00401833,77.69542771,26.12.2014,Female,57,2 Wheeler,Bajaj Pulsar,black,No,No,No,Undetected,,,
EAST,Halasur PS,29.12.2014,14:00:00,December,Monday,12:00-15:00,"No.7/1, 3rd street, Jogupalya, Halasuru Bangalorecity.",By other techniques ,In-front of Victims house,12.97418956,77.62922366,29.12.2014,Female,42,By Walk,No,No,No,No,No,Detected,,,
EAST,Banaswadi PS,30.12.2014,7:00:00,December,Tuesday,06:00-09:00,"Infront of House No.904,  2nd E cross, HBR Layout 1st block, Bangalorecity.",Snatching while on the move (Accused on bike) from back,In-front of Victims house,13.01931976,77.64689635,30.12.2014,Female,57,2 Wheeler,Bajaj Discover,No,No,No,Yes ,Detected,,,
EAST,K.R. Puram PS,16.01.2015, 20:00:00,January,Friday,18:00-21:00,"1 st Main,2nd Cross, Sairam Lay out,, T.C.palaya,K.r.pura, Bengaluru",Snatching while on the move (Accused on bike) from front,On a main road,13.02198789,77.6971178,16.01.2014,Female,40,2 Wheeler,Bajaj Pulsar,black,No,No,No,Undetected,,,
EAST,Banaswadi PS,12.01.2015,18:00:00,January,Monday,18:00-21:00,"Infront of House No.59, KSFC Layout, Lingarajapuram, Bangalore city.",Snatching while on the move (Accused on bike) from front,In-front of Victims house,13.01147189,77.63001068,12.01.2015,Female,28,2 Wheeler,No,No,No,No,No,Detected,,,
EAST,Ramamurthy Nagar PS,20.01.2015,14:45:00,January,Tuesday,12:00-15:00,"No 216, East Of NGEF Layout,, Kasturinagar, Bengaluru city, Karnataka",Snatching while on the move (Accused on bike) from front,On side road,13.00755477,77.66192249,20.01.2014,Female,31,2 Wheeler,No,NO,No,NO,yes,Undetected,,,
EAST,K.R. Puram PS,19.01.2015,18:00:00,January,Monday,18:00-21:00,"Near Ganesh Temple,1 st cross,Rifco Shanthiniketan lay out,Near SJES College,
Meadhalli,Virgo nagara P, Bengaluru",Snatching while on the move (Accused on bike) from front,"Near Temples, Masque, Church Etc",13.02433843,77.71404569,20.01.2014,Male,35,2 Wheeler,No,No,No,No,No,Undetected,,,
EAST,Ramamurthy Nagar PS,07.02.2015,11:00:00,February,Saturday,09:00-12:00,"Infront Of No-24, OM Shakti Nilaya, 2nd Main,, 2nd cross, Sir M V Nagara, R,M
Nagara, Bengaluru city",Attention diversion by indulging in small talk,In-front of Victims house,13.0148581,77.67739801,07.02.2015,Female,60,2 Wheeler,Bajaj Pulsar,Black,No,no,yes,Undetected,,,
EAST,K.R. Puram PS,26.02.2015,15:30:00,February,Thursday,15:00-18:00,"Near Kote Anjaneya temple, K.R.Pura Bangalore city.",Attention diversion by indulging in small talk,"Near Temples, Masque, Church Etc",13.00857314,77.69531531,26.02.2015,Female,72,By Walk,No,No,No,No,No,Detected,,,
EAST,K.R. Puram PS,15.03.2015, 06:45:00,March,Sunday,06:00-09:00,"Near BWSSB Office ITI Colony, K.R.Pura Bengaluru city",Snatching while on the move (Accused on bike) from back,On side road,13.01139555,77.68830827,15.03.2015,Female,40,2 Wheeler,No,No,No,No,No,Undetected,,,
EAST,K.R. Puram PS,25.03.2015,17:25:00,March,Wednesday,15:00-18:00,"No.5&6, Shantha Nivas,Sacres Heasts Road, T.C.palya,, Bengaluru city,",Snatching while on the move (Accused on bike) from front,In-front of Victims house,13.02198789,77.6971178,26.03.2015,Female,70,2 Wheeler,Bajaj Pulsar,No,No,No,No,Detected,,,
EAST,Ramamurthy Nagar PS,30.03.2015,14:00:00,March,Monday,12:00-15:00,"2 nd ''D'' Cross, Sir.M.V.Nagar,, R.M.Nagar, Bengaluru city, Karnataka, 560016",Snatching by walk & escaping with bike,In-front of Victims house,13.01565021,77.67767362,30.03.2015,Female,40,2 Wheeler,Bajaj Pulsar,no,No,no,No,Undetected,,,
EAST,Ramamurthy Nagar PS,11.06.2015,19:15:00,June,Thursday,18:00-21:00,"1st Main Raod, Papanna Layout, Ramamurthy Nagar, Bangalore",Snatching by walk & escaping with bike,On side road,13.01554881,77.66901683,11.06.2015,Female,58,2 Wheeler,Bajaj Pulsar,red,No,no,no,Undetected,,,
EAST,Jeevan Bheemanagar PS,14.01.2015,19:30:00,January,Wednesday,18:00-21:00,"Near Floor Mill, Annayappa garden main road, Newthippasandra, Bengaluru city,
Karnataka",Snatching by walk & escaping with bike,On a main road,12.97099243,77.65423755,14.01.2015,Female,38,2 Wheeler,No,No,No,No,Yes,Undetected,,,
EAST,Indiranagar PS,30.03.2015,19:45:00,March,Monday,18:00-21:00,"In front of Classic residency apartment, 15th cross, Eshwar layout, Indiranagar,
Bengaluru city,",Snatching while on the move (Accused on bike) from back,On a main road,12.974251,77.634058,30.03.2015,Female,65,2 Wheeler,No,No,No,No,No,Undetected,,,
EAST,Indiranagar PS,10.06.2015,07:45:00,June,Wednesday,06:00-09:00,"No.504, 3rd Cross, 9th Main, HAL 2nd Stage, Indirangar Bangalore",Attention diversion by indulging in small talk,In-front of Victims house,12.972528,77.645674,10.06.2015,Female,75,2 Wheeler,No,No,No,No,Yes,Undetected,,,
EAST,Mahadevapura PS,14.04.2015,19:00:00,April,Tuesday,18:00-21:00,"Infront of No.32, 3rd Main, 2nd Cross, Jain Temple, Udayanagar, Bengalurucity.",Attention diversion by indulging in small talk,In-front of Victims house,12.9888141,77.67455663,14.04.2015,Female,65,2 Wheeler,No,No,No,No,Yes,Undetected,,,
EAST,Halasur PS,18.03.2015,18:50:00,March,Wednesday,18:00-21:00,"Near Domlur Fly Over, Domlur, Bangalore",Snatching by walk & escaping with bike,On a main Road,12.9607438,77.63969986,18.03.2015,Female,43,2 Wheeler,HONDA DIO,BLACK,KA-41 EC-4655,NO,NO,Detected,,,
EAST,Bharathi Nagar PS,08.01.2015,14:35:00,January,Thursday,12:00-15:00,KadandaRamalayout. Asban Road Bharathinagar Banglore,Snatching while on the move (Accused on bike) from front,On a main Road,12.985738,77.616911,08.01.2015,Female,34,2 Wheeler,Suzuki Access,Black,KA-04-HG-1642,No,No,Detected,,,
NORTH EAST,Amruthahally,14.06.2014,18:00:00,June,Saturday,18:00-21:00,"4th Cross Coffee board layout, Hebbal Kempapura, Bangalore",Accused was on foot,On Side Road,13.05138036,77.60459794,14.06.2014,Female,40,By Walk,No,No,No,No,No,Detected,,,
NORTH EAST,Yelahanka New Town,07.06.2014,09:15:00,June,Saturday,09:00-12:00,"No.320,8th B main road ,B,Sector, Yelahanka New Town, Bangalore",Snatching while on the move (Accused on bike) from front,In-front of Victims house,13.06319966,77.489998,07.06.2014,Female,60,2 Wheeler,Honda Unicarn,Black,TN-22-BH-9803,No,NO,Detected,,,
NORTH EAST,Sampigehalli,06.07.2014,07:30:00,July,Sunday,06:00-09:00,"I/F No-109, 3rd cross, BDS layout,Dr. SRK Nagar Post, Bangalore",Attention diversion by indulging in small talk,In-front of Victims house,13.06381692,77.42148894,06.07.2014,Female,61,2 Wheeler,Bajaj Pulsar,Black ,No,No ,Yes,Detected,,,
NORTH EAST,Sampigehalli,06.07.2014,07:30:00,July,Sunday,06:00-09:00,"I/F No-109, 3rd cross, BDS layout,Dr. SRK Nagar Post, Bangalore",Attention diversion by indulging in small talk,In-front of Victims house,13.06381692,77.42148894,06.07.2014,Female,61,2 Wheeler,Bajaj Pulsar,No,No,No ,NO,Detected,,,
NORTH EAST,Amruthahally,16.06.2014,18:30:00,July,Monday,18:00-21:00,"I/F no-57,, Kaveri Layout, mariyanapalya, Bangalore",Attention diversion by indulging in small talk,In-front of Victims house,13.05369037,77.60952078,21.07.2014,Female,51,By Walk,No,No,No,No,No,Detected,,,
NORTH EAST,Kodigehalli,12.08.2014,11:00:00,August,Tuesday,09:00-12:00,"I/F No-180, 9th Main,, 8th Cross,Tatanagara, Bangalore ",Snatching while on the move (Accused on bike) from front,On a main road,13.05514929,77.57197122,12.08.2014,Female,31,2 Wheeler,Bajaj Pulsar,Black,No,NO,Yes,Undetected,,,
NORTH EAST,Kodigehalli,05.09.2014,10:00:00,September,Friday,09:00-12:00,"Near Cilycon School, Akkayamma And Muneshwara, Temple Road, In Front House No-1408, Sahakarnagara, Bangalore city",Snatching by walk & escaping with bike,"Near Temples, Masque, Church Etc",13.06077855,77.5764539,05.09.2014,Female,41,2 Wheeler,Bajaj Pulsar,Black,No,NO,Yes,Undetected,,,
NORTH EAST,Yelahanka New Town,09.09.2014,08:45:00,September,Tuesday,06:00-09:00,"I/F BWSSB Office, Mother Dairy Doubl Road, Yelahanka New Town, Bangalore city",Snatching while on the move (Accused on bike) from front,On a main road,13.098539,77.595148,09.09.2014,Female,67,2 Wheeler,Bajaj Pulsar,Black,KA-08-Q-5226,No,Yes,Detected,,,
NORTH EAST,Yelahanka,02.09.2014,10:30:00,September,Tuesday,09:00-12:00,"I/F House No 14, Krishna Nagar, Agrahara, Road, Kogilu, Yalahanka, Bangalore city",Snatching by walk & escaping with bike,In-front of Victims house,13.104245,77.598517,02.09.2014,Female,65,2 Wheeler,Bajaj Pulsar,Black,No,NO,YES,Detected,,,
NORTH EAST,Yelahanka,02.09.2014,10:30:00,September,Tuesday,09:00-12:00,"I/F House No 14, Krishna Nagar, Agrahara, Road, Kogilu, Yalahanka, Bangalore city",The co-accused was waiting at a distance,In-front of Victims house,13.104245,77.598517,02.09.2014,Female,65,2 Wheeler,Bajaj Pulsar,Black,No,NO,YES,Detected,,,
NORTH EAST,Yelahanka,16.09.2014,05:20:00,September,Tuesday,06:00-09:00,"Near AXIS Bank ATM Venkatala, Maruthinagara, Yelahanka,    Bangalore city.",Snatching while on the move (Accused on bike) from front,In-front of Victims house,13.109532,77.612293,16.09.2014,Female,22,2 Wheeler,Bajaj Pulsar,Black,No,NO,YES,Detected,,,
NORTH EAST,Kodigehalli,06.10.2014,07:45:00,October,Monday,06:00-09:00,"I/F House no-1546, 1st Main, 1st Cross, Sanjeevininagar, Bangalore",Snatching by walk & escaping with bike,In-front of Victims house,13.05754958,77.58918259,06.10.2014,Female,67,2 Wheeler,Bajaj Pulsar,Blue,No,NO,Yes,Undetected,,,
NORTH EAST,Kodigehalli,11.10.2014,11:40:00,October,Saturday,09:00-12:00,"I/F House No-10, 1st A Cross, Dhanalakshmi Layout, Bangalore",Snatching by walk & escaping with bike,On Side Road,13.06664169,77.57319616,11.10.2014,Female,59,2 Wheeler,Bajaj Pulsar,Black,No,No,Yes,Undetected,,,
NORTH EAST,Kodigehalli,05.11.2014,16:20:00,November,Wednesday,15:00-18:00,"No-20th D-Cross,, Sahakarnagara, Bangalore",Snatching while on the move (Accused on bike) from back,On Side Road,13.06102174,77.57951195,05.11.2014,Female,37,2 Wheeler,Bajaj Pulsar,Black,No,NO,Yes,Undetected,,,
NORTH EAST,Kodigehalli,23.12.2014,18:30:00,December,Tuesday,18:00-21:00,"Opp No-09, 3rd Cross, 1st Main, Balaji Layout, Bangalore",Snatching while on the move (Accused on bike) from back,On a main road,13.04899196,77.57653837,23.12.2014,Female,55,2 Wheeler,Bajaj Pulsar,Black,No,NO,Yes,Undetected,,,
